License Year, Hunting District,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bucks,Does,Fawns
2004,215,N,0,0,0,0,0,0,0,
2004,215,R,37,143,4,19,6,14,0,
2004,215,SUM,37,143,4,19,6,14,0,
2004,300,N,22,56,3,15,12,3,0,
2004,300,R,377,1171,3,166,112,50,4,
2004,300,SUM,399,1227,3,180,124,53,4,
2004,301,N,7,14,2,3,2,1,0,
2004,301,R,56,107,2,16,12,3,0,
2004,301,SUM,62,121,2,19,15,4,0,
2004,310,N,5,12,2,3,0,3,0,
2004,310,R,194,610,3,106,63,40,3,
2004,310,SUM,199,622,3,109,63,43,3,
2004,311,N,8,34,4,7,7,0,0,
2004,311,R,119,421,4,55,43,11,0,
2004,311,SUM,126,455,4,62,50,11,0,
2004,318,N,13,61,5,7,6,1,0,
2004,318,R,215,582,3,77,58,18,2,
2004,318,SUM,228,643,3,84,64,19,2,
2004,319,N,0,0,0,0,0,0,0,
2004,319,R,72,311,4,27,21,6,0,
2004,319,SUM,72,311,4,27,21,6,0,
2004,320,N,20,71,4,6,3,3,0,
2004,320,R,262,876,3,163,89,70,4,
2004,320,SUM,282,948,3,168,92,72,4,
2004,321,N,29,89,3,14,10,2,2,
2004,321,R,440,1209,3,242,161,72,9,
2004,321,SUM,469,1298,3,257,171,74,12,
2004,329,N,14,62,4,9,9,0,0,
2004,329,R,311,817,3,144,100,43,1,
2004,329,SUM,325,878,3,153,109,43,1,
2004,330,N,48,173,4,33,18,12,3,
2004,330,R,551,1469,3,286,125,139,17,
2004,330,SUM,599,1642,3,319,142,152,19,
2004,338,N,41,97,2,24,20,4,0,
2004,338,R,327,1292,4,135,101,34,0,
2004,338,SUM,368,1388,4,159,121,38,0,
2004,339,N,10,13,1,7,7,0,0,
2004,339,R,120,480,4,72,61,10,0,
2004,339,SUM,130,493,4,79,69,10,0,
2004,340,N,6,17,3,2,2,0,0,
2004,340,R,91,269,3,44,32,11,0,
2004,340,SUM,97,287,3,46,34,11,0,
2004,341,N,6,18,3,5,4,1,0,
2004,341,R,168,605,4,82,67,14,1,
2004,341,SUM,174,622,4,87,70,16,1,
2004,350,N,0,0,0,0,0,0,0,
2004,350,R,59,232,4,12,10,1,0,
2004,350,SUM,59,232,4,12,10,1,0,
2004,360,N,47,153,3,37,24,11,3,
2004,360,R,458,1173,3,267,180,78,7,
2004,360,SUM,505,1326,3,305,203,89,9,
2004,370,N,6,23,4,2,2,0,0,
2004,370,R,121,309,3,50,20,30,1,
2004,370,SUM,127,333,3,52,22,30,1,
2004,371,N,0,0,0,0,0,0,0,
2004,371,R,101,501,5,44,27,18,0,
2004,371,SUM,101,501,5,44,27,18,0,
2004,380,N,0,0,0,0,0,0,0,
2004,380,R,200,853,4,72,41,27,4,
2004,380,SUM,200,853,4,72,41,27,4,
2004,381,N,0,0,0,0,0,0,0,
2004,381,R,72,332,5,21,8,13,0,
2004,381,SUM,72,332,5,21,8,13,0,
2004,390,N,8,17,2,10,4,7,0,
2004,390,R,157,638,4,85,68,15,1,
2004,390,SUM,165,655,4,95,72,22,1,
2004,3XX,R,80,305,4,28,20,8,0,
2004,3XX,SUM,85,328,4,28,20,8,0,
2004,401,N,29,130,5,7,6,1,0,
2004,401,R,474,1461,3,220,196,24,0,
2004,401,SUM,502,1591,3,227,202,25,0,
2004,404,N,20,73,4,11,9,1,0,
2004,404,R,289,1134,4,141,130,9,2,
2004,404,SUM,308,1207,4,152,139,10,2,
2004,413,N,13,36,3,7,7,0,0,
2004,413,R,307,1032,3,155,82,66,6,
2004,413,SUM,320,1068,3,163,89,66,6,
2004,420,N,80,280,4,69,18,46,4,
2004,420,R,448,1233,3,339,147,176,17,
2004,420,SUM,529,1513,3,408,164,222,20,
2004,430,N,53,187,4,36,15,17,5,
2004,430,R,478,1309,3,305,134,156,16,
2004,430,SUM,530,1496,3,342,149,172,21,
2004,440,N,2,10,4,2,2,0,0,
2004,440,R,172,543,3,72,63,9,0,
2004,440,SUM,174,552,3,74,65,9,0,
2004,441,N,0,0,0,0,0,0,0,
2004,441,R,13,38,3,10,9,1,0,
2004,441,SUM,13,38,3,10,9,1,0,
2004,444,N,9,54,6,5,5,0,0,
2004,444,R,220,645,3,102,88,12,2,
2004,444,SUM,229,699,3,107,93,12,2,
2004,450,N,34,129,4,24,2,15,5,
2004,450,R,698,1576,2,517,163,310,44,
2004,450,SUM,732,1704,2,541,165,324,49,
2004,455,N,0,0,0,0,0,0,0,
2004,455,R,10,74,8,1,1,0,0,
2004,455,SUM,10,74,8,1,1,0,0,
2004,470,N,12,46,4,7,7,0,0,
2004,470,R,285,806,3,161,128,28,5,
2004,470,SUM,297,852,3,168,135,28,5,
2004,471,N,29,109,4,20,4,13,3,
2004,471,R,298,781,3,204,92,102,9,
2004,471,SUM,327,890,3,224,96,116,12,
2004,473,N,7,18,3,4,4,0,0,
2004,473,R,163,365,2,101,89,10,1,
2004,473,SUM,170,382,2,105,93,10,1,
2004,480,N,223,705,3,217,94,103,17,
2004,480,R,1074,3147,3,999,421,542,36,
2004,480,SUM,1297,3852,3,1215,515,645,54,
2004,481,N,167,567,3,147,56,76,13,
2004,481,R,783,2250,3,711,325,355,27,
2004,481,SUM,950,2817,3,858,381,431,40,
2004,490,N,29,65,2,25,14,11,0,
2004,490,R,512,1387,3,472,129,322,21,
2004,490,SUM,542,1452,3,497,143,333,21,
2004,491,N,39,138,4,32,7,20,4,
2004,491,R,265,525,2,201,81,113,7,
2004,491,SUM,304,664,2,233,88,134,11,
2004,4XX,N,16,109,7,4,2,2,0,
2004,4XX,R,133,608,5,73,31,39,3,
2004,4XX,SUM,148,717,5,77,33,40,3,
2004,500,N,46,104,2,75,32,32,10,
2004,500,R,433,1167,3,604,242,319,42,
2004,500,SUM,479,1271,3,678,273,351,52,
2004,501,N,56,179,3,60,40,19,2,
2004,501,R,488,1374,3,622,282,309,30,
2004,501,SUM,544,1553,3,682,321,327,32,
2004,510,N,48,158,3,63,32,28,2,
2004,510,R,378,933,3,389,177,199,12,
2004,510,SUM,426,1091,3,452,209,227,14,
2004,511,N,13,45,4,12,9,3,0,
2004,511,R,239,698,3,138,109,29,0,
2004,511,SUM,252,743,3,149,117,32,0,
2004,512,N,11,32,3,8,5,3,0,
2004,512,R,72,164,2,43,27,14,0,
2004,512,SUM,83,196,2,51,32,18,0,
2004,513,N,86,300,4,130,64,57,7,
2004,513,R,632,1763,3,861,356,465,41,
2004,513,SUM,719,2062,3,992,420,522,48,
2004,514,N,4,9,3,2,2,0,0,
2004,514,R,95,265,3,51,40,11,0,
2004,514,SUM,98,273,3,52,41,11,0,
2004,530,N,165,509,3,195,119,55,18,
2004,530,R,1004,2628,3,1231,622,544,63,
2004,530,SUM,1169,3136,3,1426,740,599,81,
2004,540,N,47,175,4,17,14,4,0,
2004,540,R,300,744,3,155,105,50,0,
2004,540,SUM,347,919,3,173,119,54,0,
2004,550,N,17,41,2,8,6,2,0,
2004,550,R,340,1069,3,300,134,149,14,
2004,550,SUM,358,1110,3,308,140,151,14,
2004,560,N,56,209,4,49,35,14,0,
2004,560,R,907,3626,4,1028,455,516,55,
2004,560,SUM,963,3836,4,1077,490,530,55,
2004,570,N,75,224,3,90,53,35,0,
2004,570,R,477,1298,3,560,243,276,38,
2004,570,SUM,552,1522,3,650,295,312,38,
2004,571,N,30,116,4,31,16,13,2,
2004,571,R,326,952,3,358,170,176,12,
