License Year, Hunting District,Deer Species,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bucks,Does,Fawns,Bow,Rifle,Less than 4 Points, 4 or More Points
2004,100,all_deer,N,276,1672,6,123,112,11,0,0,123,17,91
2004,100,all_deer,R,3220,21849,7,1572,1061,496,11,22,1550,449,555
2004,100,all_deer,SUM,3496,23521,7,1695,1173,508,11,22,1673,466,646
2004,100,md,N,276,1672,6,33,33,0,0,0,33,8,25
2004,100,md,R,3220,21849,7,189,189,0,0,2,187,105,78
2004,100,md,SUM,3496,23521,7,222,222,0,0,2,221,113,103
2004,100,wt,N,276,1672,6,85,75,10,0,0,85,9,66
2004,100,wt,R,3220,21849,7,1379,872,496,11,21,1359,344,477
2004,100,wt,SUM,3496,23521,7,1464,947,506,11,21,1444,353,543
2004,101,all_deer,N,123,599,5,51,43,9,0,0,51,7,36
2004,101,all_deer,R,2884,18605,7,1340,939,387,14,21,1319,385,532
2004,101,all_deer,SUM,3007,19204,6,1391,982,395,14,21,1370,392,567
2004,101,md,N,123,599,5,21,21,0,0,0,21,4,18
2004,101,md,R,2884,18605,7,183,181,2,0,0,183,92,89
2004,101,md,SUM,3007,19204,6,204,203,2,0,0,204,96,107
2004,101,wt,N,123,599,5,30,21,9,0,0,30,4,18
2004,101,wt,R,2884,18605,7,1147,756,377,14,17,1130,292,441
2004,101,wt,SUM,3007,19204,6,1177,777,386,14,17,1160,296,459
2004,102,all_deer,N,71,288,4,31,23,9,0,0,31,7,15
2004,102,all_deer,R,3756,19641,5,1666,1173,486,7,27,1639,437,726
2004,102,all_deer,SUM,3826,19928,5,1697,1195,495,7,27,1670,444,742
2004,102,md,N,71,288,4,0,0,0,0,0,0,0,0
2004,102,md,R,3756,19641,5,100,92,8,0,0,100,50,42
2004,102,md,SUM,3826,19928,5,100,92,8,0,0,100,50,42
2004,102,wt,N,71,288,4,31,23,9,0,0,31,7,15
2004,102,wt,R,3756,19641,5,1565,1081,477,7,27,1537,387,684
2004,102,wt,SUM,3826,19928,5,1596,1103,485,7,27,1568,395,700
2004,103,all_deer,N,265,1400,5,105,102,4,0,0,105,24,75
2004,103,all_deer,R,3685,21698,6,1539,1125,399,16,11,1528,461,593
2004,103,all_deer,SUM,3950,23098,6,1645,1227,402,16,11,1633,485,668
2004,103,md,N,265,1400,5,48,48,0,0,0,48,13,36
2004,103,md,R,3685,21698,6,369,354,16,0,0,369,163,171
2004,103,md,SUM,3950,23098,6,418,402,16,0,0,418,176,207
2004,103,wt,N,265,1400,5,57,53,4,0,0,57,11,39
2004,103,wt,R,3685,21698,6,1170,771,383,16,11,1159,298,422
2004,103,wt,SUM,3950,23098,6,1227,825,387,16,11,1216,309,461
2004,104,all_deer,N,214,1069,5,65,57,9,0,0,65,11,43
2004,104,all_deer,R,2042,13726,7,854,591,255,6,12,842,217,350
2004,104,all_deer,SUM,2256,14794,7,919,648,264,6,12,907,228,393
2004,104,md,N,214,1069,5,32,32,0,0,0,32,11,21
2004,104,md,R,2042,13726,7,118,116,2,0,0,118,44,72
2004,104,md,SUM,2256,14794,7,150,148,2,0,0,150,55,93
2004,104,wt,N,214,1069,5,33,25,9,0,0,33,0,21
2004,104,wt,R,2042,13726,7,730,471,254,6,12,719,174,274
2004,104,wt,SUM,2256,14794,7,764,496,262,6,12,752,174,296
2004,109,all_deer,N,18,66,4,5,3,2,0,0,5,3,0
2004,109,all_deer,R,599,3676,6,295,210,83,3,0,295,65,140
