License Year, Hunting District,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bulls,Cows,Calves
2005,100,N,1,5,5,0,0,0,0,
2005,100,R,13,173,13,13,12,1,0,
2005,100,SUM,14,178,13,13,12,1,0,
2005,101,N,1,14,14,1,1,0,0,
2005,101,R,14,138,10,12,10,2,0,
2005,101,SUM,15,152,10,13,11,2,0,
2005,102,N,0,0,0,0,0,0,0,
2005,102,R,11,85,8,10,9,1,0,
2005,102,SUM,11,85,8,10,9,1,0,
2005,103,R,5,48,10,5,3,2,0,
2005,103,SUM,5,48,10,5,3,2,0,
2005,104,R,5,80,16,5,5,0,0,
2005,104,SUM,5,80,16,5,5,0,0,
2005,105,N,2,4,2,2,2,0,0,
2005,105,R,18,195,11,18,15,3,0,
2005,105,SUM,20,199,10,20,17,3,0,
2005,106,N,1,2,2,0,0,0,0,
2005,106,R,14,207,15,12,11,0,1,
2005,106,SUM,15,209,14,12,11,0,1,
2005,110,N,1,7,7,1,1,0,0,
2005,110,R,9,65,7,8,7,1,0,
2005,110,SUM,10,72,7,9,8,1,0,
2005,111,N,1,30,30,0,0,0,0,
2005,111,R,9,31,3,9,6,3,0,
2005,111,SUM,10,61,6,9,6,3,0,
2005,112,R,5,49,10,5,3,2,0,
2005,112,SUM,5,49,10,5,3,2,0,
2005,121,R,6,92,15,6,5,1,0,
2005,121,SUM,6,92,15,6,5,1,0,
2005,122,R,6,78,13,6,6,0,0,
2005,122,SUM,6,78,13,6,6,0,0,
2005,125,R,2,17,9,2,2,0,0,
2005,125,SUM,2,17,9,2,2,0,0,
2005,130,R,5,89,18,2,2,0,0,
2005,130,SUM,5,89,18,2,2,0,0,
2005,140,R,5,71,14,5,2,2,1,
2005,140,SUM,5,71,14,5,2,2,1,
2005,141,R,6,154,26,4,4,0,0,
2005,141,SUM,6,154,26,4,4,0,0,
2005,150,R,2,6,3,1,1,0,0,
2005,150,SUM,2,6,3,1,1,0,0,
2005,210,R,8,126,16,6,2,2,2,
2005,210,SUM,8,126,16,6,2,2,2,
2005,211,R,6,22,4,6,3,3,0,
2005,211,SUM,6,22,4,6,3,3,0,
2005,212,R,12,153,13,9,5,4,0,
2005,212,SUM,12,153,13,9,5,4,0,
2005,214,R,4,63,16,4,2,2,0,
2005,214,SUM,4,63,16,4,2,2,0,
2005,215,R,5,52,10,5,3,2,0,
2005,215,SUM,5,52,10,5,3,2,0,
2005,220,R,3,51,17,2,2,0,0,
2005,220,SUM,3,51,17,2,2,0,0,
2005,230,R,4,70,18,4,4,0,0,
2005,230,SUM,4,70,18,4,4,0,0,
2005,240,R,5,78,16,5,5,0,0,
2005,240,SUM,5,78,16,5,5,0,0,
2005,250,R,5,79,16,5,4,0,0,
2005,250,SUM,5,79,16,5,4,0,0,
2005,261,R,2,17,9,2,2,0,0,
2005,261,SUM,2,17,9,2,2,0,0,
2005,270,R,10,112,11,10,7,3,0,
2005,270,SUM,10,112,11,10,7,3,0,
2005,280,R,2,4,2,2,2,0,0,
2005,280,SUM,2,4,2,2,2,0,0,
2005,285,R,2,20,10,1,1,0,0,
2005,285,SUM,2,20,10,1,1,0,0,
2005,291,R,1,10,10,1,1,0,0,
2005,291,SUM,1,10,10,1,1,0,0,
2005,292,R,5,44,9,5,5,0,0,
2005,292,SUM,5,44,9,5,5,0,0,
2005,293,R,2,17,9,2,2,0,0,
2005,293,SUM,2,17,9,2,2,0,0,
2005,300,R,12,63,5,10,4,5,1,
2005,300,SUM,12,63,5,10,4,5,1,
2005,301,R,13,67,5,13,8,5,0,
2005,301,SUM,13,67,5,13,8,5,0,
2005,302,R,10,83,8,9,4,5,0,
2005,302,SUM,10,83,8,9,4,5,0,
2005,303,R,6,17,3,5,3,2,0,
2005,303,SUM,6,17,3,5,3,2,0,
2005,304,R,4,22,6,3,3,0,0,
2005,304,SUM,4,22,6,3,3,0,0,
2005,306,R,3,15,5,3,3,0,0,
2005,306,SUM,3,15,5,3,3,0,0,
2005,307,R,1,25,25,0,0,0,0,
2005,307,SUM,1,25,25,0,0,0,0,
2005,308,R,4,31,8,3,3,0,0,
2005,308,SUM,4,31,8,3,3,0,0,
2005,309,R,7,41,6,7,7,0,0,
2005,309,SUM,7,41,6,7,7,0,0,
2005,310,R,1,17,17,1,1,0,0,
2005,310,SUM,1,17,17,1,1,0,0,
2005,311,N,1,20,20,1,1,0,0,
2005,311,R,14,143,10,11,11,0,0,
2005,311,SUM,15,163,11,12,12,0,0,
2005,312,R,5,43,9,4,4,0,0,
2005,312,SUM,5,43,9,4,4,0,0,
2005,313,R,4,71,18,1,1,0,0,
2005,313,SUM,4,71,18,1,1,0,0,
2005,314,R,6,50,8,5,5,0,0,
2005,314,SUM,6,50,8,5,5,0,0,
2005,315,R,7,60,9,6,5,1,0,
2005,315,SUM,7,60,9,6,5,1,0,
2005,316,R,2,14,7,0,0,0,0,
2005,316,SUM,2,14,7,0,0,0,0,
2005,317,R,2,16,8,1,1,0,0,
2005,317,SUM,2,16,8,1,1,0,0,
2005,318,R,3,15,5,2,2,0,0,
2005,318,SUM,3,15,5,2,2,0,0,
2005,319,R,5,68,14,3,3,0,0,
2005,319,SUM,5,68,14,3,3,0,0,
2005,320,R,6,17,3,6,3,3,0,
2005,320,SUM,6,17,3,6,3,3,0,
2005,321,R,4,70,18,3,2,1,0,
2005,321,SUM,4,70,18,3,2,1,0,
2005,322,R,5,35,7,3,3,0,0,
2005,322,SUM,5,35,7,3,3,0,0,
2005,323,N,1,4,4,1,1,0,0,
2005,323,R,26,127,5,25,14,9,2,
2005,323,SUM,27,131,5,26,15,9,2,
2005,324,R,12,120,10,10,6,4,0,
2005,324,SUM,12,120,10,10,6,4,0,
2005,325,R,6,49,8,6,3,2,1,
2005,325,SUM,6,49,8,6,3,2,1,
2005,326,R,22,106,5,18,9,9,0,
2005,326,SUM,22,106,5,18,9,9,0,
2005,327,R,18,110,6,17,11,5,1,
2005,327,SUM,18,110,6,17,11,5,1,
2005,328,R,2,21,11,1,1,0,0,
2005,328,SUM,2,21,11,1,1,0,0,
2005,329,R,5,26,5,4,4,0,0,
2005,329,SUM,5,26,5,4,4,0,0,
2005,330,R,10,56,6,8,5,3,0,
2005,330,SUM,10,56,6,8,5,3,0,
2005,331,N,2,3,2,2,1,1,0,
2005,331,R,18,101,6,18,9,9,0,
2005,331,SUM,20,104,5,20,10,10,0,
2005,332,R,10,39,4,10,6,4,0,
2005,332,SUM,10,39,4,10,6,4,0,
2005,333,R,4,20,5,2,1,1,0,
2005,333,SUM,4,20,5,2,1,1,0,
2005,334,R,11,49,5,10,4,5,1,
2005,334,SUM,11,49,5,10,4,5,1,
2005,335,R,3,66,22,2,2,0,0,
2005,335,SUM,3,66,22,2,2,0,0,
2005,340,R,19,133,7,18,9,9,0,
2005,340,SUM,19,133,7,18,9,9,0,
2005,341,R,3,46,15,3,2,1,0,
2005,341,SUM,3,46,15,3,2,1,0,
2005,350,R,7,115,16,7,5,2,0,
2005,350,SUM,7,115,16,7,5,2,0,
2005,360,R,4,47,12,2,2,0,0,
2005,360,SUM,4,47,12,2,2,0,0,
2005,361,R,5,31,6,5,5,0,0,
2005,361,SUM,5,31,6,5,5,0,0,
2005,362,R,3,14,5,2,2,0,0,
2005,362,SUM,3,14,5,2,2,0,0,
2005,380,R,7,75,11,5,4,1,0,
2005,380,SUM,7,75,11,5,4,1,0,
2005,382,R,3,10,3,3,3,0,0,
2005,382,SUM,3,10,3,3,3,0,0,
2005,415,R,3,30,10,1,1,0,0,
2005,415,SUM,3,30,10,1,1,0,0,
2005,494,R,6,26,4,5,4,1,0,
2005,494,SUM,6,26,4,5,4,1,0,
2005,496,R,4,60,15,2,2,0,0,
2005,496,SUM,4,60,15,2,2,0,0,
2005,512,R,0,0,0,0,0,0,0,
2005,512,SUM,0,0,0,0,0,0,0,
2005,513,R,3,34,11,1,1,0,0,
2005,513,SUM,3,34,11,1,1,0,0,
2005,514,R,11,138,13,6,3,3,0,
2005,514,SUM,11,138,13,6,3,3,0,
2005,515,R,0,0,0,0,0,0,0,
2005,515,SUM,0,0,0,0,0,0,0,
2005,516,R,3,44,15,1,1,0,0,
2005,516,SUM,3,44,15,1,1,0,0,
2005,Reg_1,N,7,62,9,4,4,0,0,
2005,Reg_1,R,135,1577,12,122,102,19,2,
2005,Reg_1,SUM,142,1639,12,126,106,19,2,
2005,Reg_2,R,76,918,12,69,50,16,2,
2005,Reg_2,SUM,76,918,12,69,50,16,2,
2005,Reg_3,N,4,27,7,4,3,1,0,
2005,Reg_3,R,322,2345,7,274,183,85,6,
2005,Reg_3,SUM,326,2372,7,278,186,86,6,
2005,Reg_4,R,13,116,9,8,7,1,0,
2005,Reg_4,SUM,13,116,9,8,7,1,0,
2005,Reg_5,R,17,216,13,8,5,3,0,
2005,Reg_5,SUM,17,216,13,8,5,3,0,
2005,State,N,11,89,8,8,7,1,0,
2005,State,R,563,5172,9,482,346,124,10,
2005,State,SUM,574,5261,9,490,353,125,10,
2006,100,N,1,15,15,0,0,0,0,
2006,100,R,13,131,10,10,9,1,0,
2006,100,SUM,14,146,11,10,9,1,0,
2006,101,R,14,159,12,13,10,2,0,
2006,101,SUM,14,159,12,13,10,2,0,
2006,102,N,1,4,4,1,1,0,0,
2006,102,R,14,159,11,13,10,1,0,
2006,102,SUM,15,163,11,14,11,1,0,
2006,103,R,5,94,19,4,4,0,0,
2006,103,SUM,5,94,19,4,4,0,0,
2006,104,R,5,46,9,5,3,2,0,
2006,104,SUM,5,46,9,5,3,2,0,
2006,105,N,2,8,4,2,2,0,0,
2006,105,R,23,191,8,23,18,5,0,
2006,105,SUM,25,199,8,25,20,5,0,
2006,106,R,15,180,12,15,11,4,0,
2006,106,SUM,15,180,12,15,11,4,0,
2006,110,N,1,2,2,1,1,0,0,
2006,110,R,14,224,16,11,10,1,0,
2006,110,SUM,15,226,15,12,11,1,0,
2006,111,N,0,0,0,0,0,0,0,
2006,111,R,9,78,9,9,9,0,0,
2006,111,SUM,9,78,9,9,9,0,0,
2006,112,R,5,86,17,5,4,1,0,
2006,112,SUM,5,86,17,5,4,1,0,
2006,121,R,6,76,13,6,4,2,0,
2006,121,SUM,6,76,13,6,4,2,0,
2006,122,R,8,178,22,8,8,0,0,
2006,122,SUM,8,178,22,8,8,0,0,
2006,125,R,3,23,8,3,3,0,0,
2006,125,SUM,3,23,8,3,3,0,0,
2006,126,R,1,10,10,1,1,0,0,
2006,126,SUM,1,10,10,1,1,0,0,
2006,130,R,5,67,13,5,5,0,0,
2006,130,SUM,5,67,13,5,5,0,0,
2006,140,N,1,7,7,0,0,0,0,
2006,140,R,4,75,19,3,3,0,0,
2006,140,SUM,5,82,16,3,3,0,0,
2006,141,R,6,37,6,5,5,0,0,
2006,141,SUM,6,37,6,5,5,0,0,
2006,150,R,2,23,12,1,1,0,0,
2006,150,SUM,2,23,12,1,1,0,0,
2006,210,R,8,119,15,8,4,3,1,
2006,210,SUM,8,119,15,8,4,3,1,
