License Year, Hunting District,Residency,Hunters,Days,Days per Hunter,Total Harvest,Rams,Ewes,Lambs
2005,102,R,1,9,9,1,1,0,0,
2005,102,SUM,1,9,9,1,1,0,0,
2005,121,R,9,94,10,9,9,0,0,
2005,121,SUM,9,94,10,9,9,0,0,
2005,122,R,9,102,11,8,6,2,0,
2005,122,SUM,9,102,11,8,6,2,0,
2005,123,R,5,35,7,5,4,1,0,
2005,123,SUM,5,35,7,5,4,1,0,
2005,124,N,0,0,0,0,0,0,0,
2005,124,R,27,193,7,22,10,12,0,
2005,124,SUM,27,193,7,22,10,12,0,
2005,203,R,8,100,13,8,3,5,0,
2005,203,SUM,8,100,13,8,3,5,0,
2005,210,R,4,30,8,4,4,0,0,
2005,210,SUM,4,30,8,4,4,0,0,
2005,212,R,1,1,1,1,1,0,0,
2005,212,SUM,1,1,1,1,1,0,0,
2005,213,R,11,46,4,11,6,5,0,
2005,213,SUM,11,46,4,11,6,5,0,
2005,216,N,1,1,1,1,0,1,0,
2005,216,R,17,96,6,16,7,8,0,
2005,216,SUM,18,97,5,17,7,9,0,
2005,250,R,2,15,8,2,2,0,0,
2005,250,SUM,2,15,8,2,2,0,0,
2005,261,R,2,33,17,2,2,0,0,
2005,261,SUM,2,33,17,2,2,0,0,
2005,270,R,16,143,9,16,8,8,0,
2005,270,SUM,16,143,9,16,8,8,0,
2005,283,R,8,44,6,8,3,5,0,
2005,283,SUM,8,44,6,8,3,5,0,
2005,300,N,9,34,4,1,1,0,0,
2005,300,R,20,75,4,1,0,0,0,
2005,300,SUM,29,109,4,2,1,0,0,
2005,303,N,4,28,8,1,1,0,0,
2005,303,R,11,103,9,2,2,0,0,
2005,303,SUM,15,131,9,3,3,0,0,
2005,304,R,1,1,1,1,1,0,0,
2005,304,SUM,1,1,1,1,1,0,0,
2005,305,R,1,10,10,1,1,0,0,
2005,305,SUM,1,10,10,1,1,0,0,
2005,315,R,2,24,12,2,2,0,0,
2005,315,SUM,2,24,12,2,2,0,0,
2005,340,R,3,14,5,3,3,0,0,
